no,billToName,billToCity,state
SINV25-00259,SOLARBEE,MYSURU,KA
SINV25-00260,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00261,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00262,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00263,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00264,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00265,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00266,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00267,TANYA ENTERPRISES,DELHI,DL
SINV25-00268,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00269,CHANDIGARH ENERGY PVT LTD,CHANDIGARH,CH
SINV25-00270,RAJDEEP ECO CARE,LADWA,HR
SINV25-00271,SURAJ SOLAR AGENCY,YAMUNANAGAR,HR
SINV25-00272,SANKHLA ELECTRIC STORE,NAGAUR,RJ
SINV25-00273,RITIKA ELECTRONIC AND SOLAR SYSTEMS,SHARANPUR,UP
SINV25-00274,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00275,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00276,JAMIDAR ENTERPRISES,NARNAUND,HR
SINV25-00277,SHIVAM ELECTRONICS,HANSI,HR
SINV25-00278,RITIKA ELECTRONIC AND SOLAR SYSTEMS,SHARANPUR,UP
SINV25-00279,INNOVATIVE ENGINEERING CO.,RAJPURA,PB
SINV25-00280,GLOBAL ENTERPRISES,BHATINDA,PB
SINV25-00281,INDEPENDENT BUISNESS MACHINES PRIVATE LIMITED,CHANDIGARH,CH
SINV25-00282,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00283,MODERN SOLAR COMPANY,ALLAHABAD,UP
